"product_id","brand","technology","resolution","support_HDR","screensize","week_id","sales","RRP","discount","marketing_expense","cost_shifter"
31,"Philips","LCD","4k",1,"50-59",1,760,549,0.08,1229.01165299118,553.791569812643
32,"Philips","OLED","1080p",0,"30-39",1,837,1199,0.19,1229.01165299118,649.593524675833
33,"Philips","OLED","1080p",1,"50-59",1,991,1199,0.28,1229.01165299118,565.277646479811
34,"Philips","LCD","1080p",0,"50-59",1,799,649,0.24,1229.01165299118,453.590910863135
35,"Philips","OLED","1080p",1,"40-49",1,1019,1449,0.27,1229.01165299118,621.55439328894
36,"Philips","QLED","4k",0,"40-49",1,812,1049,0.11,1229.01165299118,716.931305380197
37,"Philips","LCD","1080p",0,"40-49",1,964,1499,0.21,1229.01165299118,678.671800417612
38,"Philips","OLED","1080p",0,"50-59",1,930,949,0.13,1229.01165299118,588.216827256321
39,"Philips","LCD","1080p",1,"60+",1,1010,1099,0.14,1229.01165299118,545.109748127505
40,"Philips","LCD","4k",1,"50-59",1,809,799,0.19,1229.01165299118,595.979951214248
1,"Samsung","OLED","1080p",0,"50-59",2,1391,799,0.19,4599.81363452971,606.06666755769
2,"Samsung","OLED","4k",1,"30-39",2,1727,1299,0.15,4599.81363452971,583.013591739948
3,"Samsung","OLED","4k",0,"30-39",2,1463,899,0.1,4599.81363452971,588.623040603289
4,"Samsung","QLED","1080p",1,"60+",2,1681,1449,0.22,4599.81363452971,656.252112149069
5,"Samsung","OLED","4k",1,"50-59",2,1662,1049,0.14,4599.81363452971,564.17838924534
6,"Samsung","QLED","4k",0,"40-49",2,1569,1099,0.09,4599.81363452971,615.848236566496
7,"Samsung","QLED","4k",1,"40-49",2,1791,1499,0.17,4599.81363452971,629.959832322362
8,"Samsung","QLED","4k",1,"40-49",2,1345,949,0.15,4599.81363452971,672.65665748933
9,"Samsung","OLED","1080p",0,"60+",2,1599,699,0.13,4599.81363452971,441.109537428274
10,"Samsung","LCD","1080p",0,"40-49",2,1506,1249,0.32,4599.81363452971,579.010467233086
11,"LG","QLED","4k",1,"40-49",2,1067,899,0.2,1618.82434319705,466.576728472597
12,"LG","QLED","1080p",0,"40-49",2,1187,1199,0.2,1618.82434319705,603.07259332279
13,"LG","LCD","4k",0,"50-59",2,1322,1699,0.27,1618.82434319705,637.521356561251
14,"LG","QLED","4k",0,"60+",2,972,949,0.2,1618.82434319705,589.068021305964
15,"LG","OLED","1080p",1,"60+",2,1367,1449,0.15,1618.82434319705,583.261599442202
16,"LG","LCD","1080p",1,"40-49",2,1052,1349,0.28,1618.82434319705,645.4493695168
17,"LG","OLED","4k",0,"30-39",2,1145,1249,0.18,1618.82434319705,568.512925359381
18,"LG","OLED","4k",1,"40-49",2,951,1149,0.21,1618.82434319705,696.411954011558
19,"LG","LCD","1080p",1,"40-49",2,966,1049,0.11,1618.82434319705,666.72229609231
20,"LG","LCD","4k",0,"40-49",2,1143,1149,0.07,1618.82434319705,630.465839022408
21,"Sony","LCD","4k",0,"50-59",2,953,799,0.22,1606.0541504994,610.645157520008
22,"Sony","LCD","4k",0,"60+",2,1126,1099,0.09,1606.0541504994,681.730355165386
23,"Sony","OLED","4k",1,"40-49",2,1063,1249,0.29,1606.0541504994,618.00134517652
24,"Sony","QLED","1080p",1,"50-59",2,1235,999,0.11,1606.0541504994,603.594890570558
25,"Sony","OLED","4k",1,"40-49",2,1319,1549,0.2,1606.0541504994,635.662198427932
26,"Sony","QLED","4k",1,"50-59",2,1127,1049,0.22,1606.0541504994,620.158711003325
27,"Sony","LCD","4k",0,"60+",2,1544,1499,0.23,1606.0541504994,546.161412374512
28,"Sony","QLED","4k",0,"30-39",2,1278,1249,0.12,1606.0541504994,668.472640231061
29,"Sony","OLED","1080p",1,"50-59",2,1395,1199,0.08,1606.0541504994,667.101894338024
30,"Sony","QLED","1080p",1,"50-59",2,1401,1399,0.14,1606.0541504994,654.078232749167
31,"Philips","LCD","4k",1,"50-59",2,850,1149,0.26,1022.04837184399,609.137152550953
32,"Philips","OLED","1080p",0,"30-39",2,809,899,0.08,1022.04837184399,637.560901380454
33,"Philips","OLED","1080p",1,"50-59",2,914,1149,0.27,1022.04837184399,592.476906194489
34,"Philips","LCD","1080p",0,"50-59",2,1029,1349,0.26,1022.04837184399,575.722873890201
35,"Philips","OLED","1080p",1,"40-49",2,818,949,0.1,1022.04837184399,626.421451579547
36,"Philips","QLED","4k",0,"40-49",2,801,799,0.15,1022.04837184399,551.362249891961
37,"Philips","LCD","1080p",0,"40-49",2,1129,1599,0.12,1022.04837184399,714.365682099188
38,"Philips","OLED","1080p",0,"50-59",2,844,849,0.06,1022.04837184399,626.565603188869
39,"Philips","LCD","1080p",1,"60+",2,915,1149,0.14,1022.04837184399,621.062708886609
40,"Philips","LCD","4k",1,"50-59",2,991,1399,0.32,1022.04837184399,650.791352826152
1,"Samsung","OLED","1080p",0,"50-59",3,1371,649,0.09,3893.03473383188,504.274167667573
2,"Samsung","OLED","4k",1,"30-39",3,1494,1099,0.12,3893.03473383188,578.155657006953
3,"Samsung","OLED","4k",0,"30-39",3,1551,1399,0.23,3893.03473383188,614.878142873878
4,"Samsung","QLED","1080p",1,"60+",3,1501,1049,0.11,3893.03473383188,608.612232280803
5,"Samsung","OLED","4k",1,"50-59",3,1427,1099,0.28,3893.03473383188,600.161810020436
6,"Samsung","QLED","4k",0,"40-49",3,1395,949,0.14,3893.03473383188,569.058083769898
7,"Samsung","QLED","4k",1,"40-49",3,1251,849,0.19,3893.03473383188,642.522260550322
8,"Samsung","QLED","4k",1,"40-49",3,1481,1049,0.12,3893.03473383188,565.224820951344
9,"Samsung","OLED","1080p",0,"60+",3,1489,1199,0.3,3893.03473383188,584.919559733182
10,"Samsung","LCD","1080p",0,"40-49",3,1409,1349,0.27,3893.03473383188,601.283546298518
11,"LG","QLED","4k",1,"40-49",3,1224,999,0.25,3346.32962848991,494.021673689287
12,"LG","QLED","1080p",0,"40-49",3,1340,1499,0.25,3346.32962848991,635.890865388071
13,"LG","LCD","4k",0,"50-59",3,1333,1299,0.29,3346.32962848991,582.362826768758
14,"LG","QLED","4k",0,"60+",3,1555,1849,0.28,3346.32962848991,594.580936264129
15,"LG","OLED","1080p",1,"60+",3,1360,999,0.11,3346.32962848991,539.607167980769
16,"LG","LCD","1080p",1,"40-49",3,1326,1299,0.31,3346.32962848991,578.403000706429
17,"LG","OLED","4k",0,"30-39",3,1149,699,0.08,3346.32962848991,499.209201535792
18,"LG","OLED","4k",1,"40-49",3,1357,1149,0.15,3346.32962848991,628.93348500006
19,"LG","LCD","1080p",1,"40-49",3,1138,799,0.13,3346.32962848991,538.046058385448
20,"LG","LCD","4k",0,"40-49",3,1254,1199,0.17,3346.32962848991,578.63086732836
21,"Sony","LCD","4k",0,"50-59",3,1258,1249,0.31,3612.42379061878,666.075847156648
22,"Sony","LCD","4k",0,"60+",3,1461,1249,0.2,3612.42379061878,623.613753600719
23,"Sony","OLED","4k",1,"40-49",3,1359,1049,0.26,3612.42379061878,525.33261767455
24,"Sony","QLED","1080p",1,"50-59",3,1112,849,0.19,3612.42379061878,600.515899390251
25,"Sony","OLED","4k",1,"40-49",3,1449,1299,0.11,3612.42379061878,653.752385148528
26,"Sony","QLED","4k",1,"50-59",3,1439,1349,0.24,3612.42379061878,600.251019697424
27,"Sony","LCD","4k",0,"60+",3,1302,949,0.27,3612.42379061878,556.382001704011
28,"Sony","QLED","4k",0,"30-39",3,1243,999,0.07,3612.42379061878,642.546059975641
29,"Sony","OLED","1080p",1,"50-59",3,1420,1049,0.28,3612.42379061878,578.019245185155
30,"Sony","QLED","1080p",1,"50-59",3,1419,899,0.16,3612.42379061878,543.499144065632
31,"Philips","LCD","4k",1,"50-59",3,1534,1049,0.15,4531.99585340917,524.678771056993
32,"Philips","OLED","1080p",0,"30-39",3,1320,1399,0.18,4531.99585340917,659.085341439796
33,"Philips","OLED","1080p",1,"50-59",3,1400,1199,0.09,4531.99585340917,623.366249703556
34,"Philips","LCD","1080p",0,"50-59",3,1404,1399,0.28,4531.99585340917,579.222347310086
35,"Philips","OLED","1080p",1,"40-49",3,1233,1199,0.3,4531.99585340917,549.021810701128
36,"Philips","QLED","4k",0,"40-49",3,870,599,0.27,4531.99585340917,632.400903070017
37,"Philips","LCD","1080p",0,"40-49",3,1265,1149,0.1,4531.99585340917,634.479043076954
38,"Philips","OLED","1080p",0,"50-59",3,1411,1399,0.25,4531.99585340917,611.61610788269
39,"Philips","LCD","1080p",1,"60+",3,1283,1299,0.2,4531.99585340917,639.437086260518
40,"Philips","LCD","4k",1,"50-59",3,1298,799,0.13,4531.99585340917,557.082199773278
1,"Samsung","OLED","1080p",0,"50-59",4,1613,1099,0.18,2020.20018268377,525.444969307516
2,"Samsung","OLED","4k",1,"30-39",4,1316,1199,0.1,2020.20018268377,606.852870691805
3,"Samsung","OLED","4k",0,"30-39",4,1097,749,0.13,2020.20018268377,575.345659014754
4,"Samsung","QLED","1080p",1,"60+",4,1227,1449,0.25,2020.20018268377,663.104976033747
5,"Samsung","OLED","4k",1,"50-59",4,1742,1349,0.14,2020.20018268377,502.748464506929
6,"Samsung","QLED","4k",0,"40-49",4,1054,949,0.26,2020.20018268377,642.936328528342
7,"Samsung","QLED","4k",1,"40-49",4,1415,1299,0.24,2020.20018268377,569.866062031091
8,"Samsung","QLED","4k",1,"40-49",4,1270,1099,0.24,2020.20018268377,562.869649886495
9,"Samsung","OLED","1080p",0,"60+",4,1075,999,0.27,2020.20018268377,613.530936514543
10,"Samsung","LCD","1080p",0,"40-49",4,1173,899,0.29,2020.20018268377,488.675717857543
11,"LG","QLED","4k",1,"40-49",4,1154,949,0.07,1873.94398264587,597.457492504261
12,"LG","QLED","1080p",0,"40-49",4,1084,1049,0.18,1873.94398264587,593.246224357237
13,"LG","LCD","4k",0,"50-59",4,921,999,0.31,1873.94398264587,580.247363615173
14,"LG","QLED","4k",0,"60+",4,1079,999,0.11,1873.94398264587,608.954731647473
15,"LG","OLED","1080p",1,"60+",4,941,949,0.19,1873.94398264587,600.405578632647
16,"LG","LCD","1080p",1,"40-49",4,1288,1449,0.31,1873.94398264587,581.300436735345
17,"LG","OLED","4k",0,"30-39",4,1263,1099,0.13,1873.94398264587,522.933818567899
18,"LG","OLED","4k",1,"40-49",4,875,1249,0.19,1873.94398264587,722.058284496033
19,"LG","LCD","1080p",1,"40-49",4,955,799,0.23,1873.94398264587,573.362729598636
20,"LG","LCD","4k",0,"40-49",4,1148,1099,0.11,1873.94398264587,598.414870838407
21,"Sony","LCD","4k",0,"50-59",4,1072,849,0.24,2571.15597464144,603.397508486245
22,"Sony","LCD","4k",0,"60+",4,1220,999,0.26,2571.15597464144,519.246422081991
23,"Sony","OLED","4k",1,"40-49",4,1338,1199,0.27,2571.15597464144,503.251412397676
24,"Sony","QLED","1080p",1,"50-59",4,1465,1449,0.19,2571.15597464144,693.596813320767
25,"Sony","OLED","4k",1,"40-49",4,1226,1249,0.11,2571.15597464144,677.686729098686
26,"Sony","QLED","4k",1,"50-59",4,1551,1199,0.14,2571.15597464144,578.69953007812
27,"Sony","LCD","4k",0,"60+",4,1242,1199,0.2,2571.15597464144,706.015229150285
28,"Sony","QLED","4k",0,"30-39",4,1190,899,0.16,2571.15597464144,624.789769535409
29,"Sony","OLED","1080p",1,"50-59",4,1304,1149,0.22,2571.15597464144,642.979362895753
30,"Sony","QLED","1080p",1,"50-59",4,1572,1399,0.16,2571.15597464144,591.070166776435
31,"Philips","LCD","4k",1,"50-59",4,1326,1399,0.24,2222.18908090144,590.633761516713
32,"Philips","OLED","1080p",0,"30-39",4,985,1399,0.32,2222.18908090144,652.430509754392
33,"Philips","OLED","1080p",1,"50-59",4,1030,849,0.08,2222.18908090144,591.395751536123
34,"Philips","LCD","1080p",0,"50-59",4,1176,1299,0.23,2222.18908090144,518.33854732575
35,"Philips","OLED","1080p",1,"40-49",4,1083,1049,0.13,2222.18908090144,552.742763201733
36,"Philips","QLED","4k",0,"40-49",4,935,1299,0.21,2222.18908090144,671.340429264851
37,"Philips","LCD","1080p",0,"40-49",4,848,799,0.33,2222.18908090144,540.078000040217
38,"Philips","OLED","1080p",0,"50-59",4,1330,1299,0.1,2222.18908090144,644.28671703442
39,"Philips","LCD","1080p",1,"60+",4,954,899,0.12,2222.18908090144,607.105749961873
40,"Philips","LCD","4k",1,"50-59",4,1092,1249,0.15,2222.18908090144,672.210655903188
1,"Samsung","OLED","1080p",0,"50-59",5,1462,1299,0.2,2234.68666244298,584.741171897801
2,"Samsung","OLED","4k",1,"30-39",5,1503,1199,0.13,2234.68666244298,544.11415667126
3,"Samsung","OLED","4k",0,"30-39",5,1380,1349,0.21,2234.68666244298,570.244591297324
4,"Samsung","QLED","1080p",1,"60+",5,1460,849,0.13,2234.68666244298,469.443459378003
5,"Samsung","OLED","4k",1,"50-59",5,1464,1399,0.3,2234.68666244298,555.983551237265
6,"Samsung","QLED","4k",0,"40-49",5,1037,899,0.3,2234.68666244298,612.936000874048
7,"Samsung","QLED","4k",1,"40-49",5,1330,1099,0.17,2234.68666244298,608.231010745895
8,"Samsung","QLED","4k",1,"40-49",5,1410,1249,0.14,2234.68666244298,624.484677192017
9,"Samsung","OLED","1080p",0,"60+",5,1203,999,0.22,2234.68666244298,530.630560749258
10,"Samsung","LCD","1080p",0,"40-49",5,1211,949,0.15,2234.68666244298,618.286096747001
11,"LG","QLED","4k",1,"40-49",5,1108,1299,0.22,1177.56660096347,627.889550132434
12,"LG","QLED","1080p",0,"40-49",5,1057,1349,0.3,1177.56660096347,596.213385050097
13,"LG","LCD","4k",0,"50-59",5,888,649,0.1,1177.56660096347,506.50236447245
14,"LG","QLED","4k",0,"60+",5,855,1199,0.31,1177.56660096347,651.40070648612
15,"LG","OLED","1080p",1,"60+",5,1247,1299,0.17,1177.56660096347,587.914360434997
16,"LG","LCD","1080p",1,"40-49",5,924,1049,0.16,1177.56660096347,614.754363753662
17,"LG","OLED","4k",0,"30-39",5,750,699,0.12,1177.56660096347,580.180610191014
18,"LG","OLED","4k",1,"40-49",5,1110,1099,0.14,1177.56660096347,570.808017468315
19,"LG","LCD","1080p",1,"40-49",5,999,1149,0.27,1177.56660096347,580.437715508889
20,"LG","LCD","4k",0,"40-49",5,1073,1499,0.25,1177.56660096347,667.439130003324
21,"Sony","LCD","4k",0,"50-59",5,1367,1199,0.08,1735.09491421282,630.472826908055
22,"Sony","LCD","4k",0,"60+",5,1108,999,0.11,1735.09491421282,619.429645798961
23,"Sony","OLED","4k",1,"40-49",5,932,749,0.11,1735.09491421282,546.717095632146
24,"Sony","QLED","1080p",1,"50-59",5,1659,1649,0.29,1735.09491421282,524.352214967685
25,"Sony","OLED","4k",1,"40-49",5,1251,1499,0.29,1735.09491421282,633.055507954605
26,"Sony","QLED","4k",1,"50-59",5,1433,1099,0.07,1735.09491421282,594.511868897687
27,"Sony","LCD","4k",0,"60+",5,1009,749,0.08,1735.09491421282,626.041531425474
28,"Sony","QLED","4k",0,"30-39",5,1259,1249,0.12,1735.09491421282,611.491019289443
29,"Sony","OLED","1080p",1,"50-59",5,1441,949,0.19,1735.09491421282,525.035587351208
30,"Sony","QLED","1080p",1,"50-59",5,1182,949,0.08,1735.09491421282,618.479139537747
31,"Philips","LCD","4k",1,"50-59",5,1611,1099,0.08,4849.90830533206,547.956036491705
32,"Philips","OLED","1080p",0,"30-39",5,1176,949,0.12,4849.90830533206,590.853637315461
33,"Philips","OLED","1080p",1,"50-59",5,1584,1299,0.3,4849.90830533206,476.181261305841
34,"Philips","LCD","1080p",0,"50-59",5,1299,1299,0.14,4849.90830533206,683.979621218027
35,"Philips","OLED","1080p",1,"40-49",5,1107,1099,0.24,4849.90830533206,614.285017290421
36,"Philips","QLED","4k",0,"40-49",5,1449,1149,0.16,4849.90830533206,551.19756838897
37,"Philips","LCD","1080p",0,"40-49",5,1285,1149,0.2,4849.90830533206,622.360262314326
38,"Philips","OLED","1080p",0,"50-59",5,1475,1149,0.11,4849.90830533206,578.013286498492
39,"Philips","LCD","1080p",1,"60+",5,1235,1149,0.14,4849.90830533206,687.925462243007
40,"Philips","LCD","4k",1,"50-59",5,1354,1249,0.12,4849.90830533206,708.23756603809
1,"Samsung","OLED","1080p",0,"50-59",6,1356,999,0.19,3987.34945338219,686.980550554766
2,"Samsung","OLED","4k",1,"30-39",6,1478,1099,0.16,3987.34945338219,563.251987645035
3,"Samsung","OLED","4k",0,"30-39",6,1553,1449,0.23,3987.34945338219,600.112147672888
4,"Samsung","QLED","1080p",1,"60+",6,1575,1149,0.06,3987.34945338219,708.835704610367
5,"Samsung","OLED","4k",1,"50-59",6,1774,1299,0.17,3987.34945338219,592.279625186219
6,"Samsung","QLED","4k",0,"40-49",6,1377,899,0.3,3987.34945338219,568.9020552063
7,"Samsung","QLED","4k",1,"40-49",6,1407,1049,0.11,3987.34945338219,653.94422208722
8,"Samsung","QLED","4k",1,"40-49",6,1539,1549,0.3,3987.34945338219,627.980978706482
9,"Samsung","OLED","1080p",0,"60+",6,1627,1149,0.12,3987.34945338219,605.572946588387
10,"Samsung","LCD","1080p",0,"40-49",6,1317,699,0.07,3987.34945338219,561.549583005714
11,"LG","QLED","4k",1,"40-49",6,1155,1149,0.27,4658.04024320096,661.444964018732
12,"LG","QLED","1080p",0,"40-49",6,1360,949,0.26,4658.04024320096,528.407377446043
13,"LG","LCD","4k",0,"50-59",6,1417,1049,0.07,4658.04024320096,654.161049637523
14,"LG","QLED","4k",0,"60+",6,1311,849,0.09,4658.04024320096,547.218660256424
15,"LG","OLED","1080p",1,"60+",6,1332,1399,0.26,4658.04024320096,665.374043173654
16,"LG","LCD","1080p",1,"40-49",6,1244,999,0.13,4658.04024320096,669.259125317777
17,"LG","OLED","4k",0,"30-39",6,1235,999,0.11,4658.04024320096,596.034481325679
18,"LG","OLED","4k",1,"40-49",6,1381,1449,0.24,4658.04024320096,690.994492460665
19,"LG","LCD","1080p",1,"40-49",6,1526,1399,0.24,4658.04024320096,564.155154147582
20,"LG","LCD","4k",0,"40-49",6,1407,1349,0.18,4658.04024320096,742.982564732787
21,"Sony","LCD","4k",0,"50-59",6,1208,849,0.18,1513.61182611436,521.424695479257
22,"Sony","LCD","4k",0,"60+",6,971,1099,0.22,1513.61182611436,634.33518962674
23,"Sony","OLED","4k",1,"40-49",6,1135,1299,0.27,1513.61182611436,587.382418905587
24,"Sony","QLED","1080p",1,"50-59",6,1071,999,0.18,1513.61182611436,655.672375774686
25,"Sony","OLED","4k",1,"40-49",6,1182,1049,0.13,1513.61182611436,573.909033110309
26,"Sony","QLED","4k",1,"50-59",6,1081,999,0.23,1513.61182611436,641.736428188072
27,"Sony","LCD","4k",0,"60+",6,1110,999,0.12,1513.61182611436,616.046594204179
28,"Sony","QLED","4k",0,"30-39",6,997,1199,0.27,1513.61182611436,638.878162947718
29,"Sony","OLED","1080p",1,"50-59",6,1354,1249,0.12,1513.61182611436,610.691292297514
30,"Sony","QLED","1080p",1,"50-59",6,1313,1149,0.12,1513.61182611436,644.663602688572
31,"Philips","LCD","4k",1,"50-59",6,1296,899,0.15,3703.17145250738,513.043502509297
32,"Philips","OLED","1080p",0,"30-39",6,1127,1249,0.22,3703.17145250738,665.901969890126
33,"Philips","OLED","1080p",1,"50-59",6,1319,1099,0.24,3703.17145250738,520.969478454133
34,"Philips","LCD","1080p",0,"50-59",6,1276,1249,0.22,3703.17145250738,580.240044856256
35,"Philips","OLED","1080p",1,"40-49",6,1173,999,0.13,3703.17145250738,588.033704095402
36,"Philips","QLED","4k",0,"40-49",6,974,699,0.25,3703.17145250738,607.896328865242
37,"Philips","LCD","1080p",0,"40-49",6,1019,999,0.24,3703.17145250738,614.141566016525
38,"Philips","OLED","1080p",0,"50-59",6,1326,1199,0.15,3703.17145250738,605.800018458845
39,"Philips","LCD","1080p",1,"60+",6,1368,1349,0.19,3703.17145250738,605.537278235992
40,"Philips","LCD","4k",1,"50-59",6,1389,1449,0.28,3703.17145250738,612.05350027149
1,"Samsung","OLED","1080p",0,"50-59",7,1433,1149,0.26,1820.98484877497,506.002382214147
2,"Samsung","OLED","4k",1,"30-39",7,985,799,0.17,1820.98484877497,629.348072802141
3,"Samsung","OLED","4k",0,"30-39",7,1401,1149,0.15,1820.98484877497,492.537032734468
4,"Samsung","QLED","1080p",1,"60+",7,1531,1549,0.23,1820.98484877497,653.60185813662
5,"Samsung","OLED","4k",1,"50-59",7,1456,1049,0.21,1820.98484877497,575.143507037091
6,"Samsung","QLED","4k",0,"40-49",7,1550,1549,0.2,1820.98484877497,592.032650477764
7,"Samsung","QLED","4k",1,"40-49",7,899,599,0.23,1820.98484877497,617.319347259531
8,"Samsung","QLED","4k",1,"40-49",7,1090,1049,0.26,1820.98484877497,628.991982491681
9,"Samsung","OLED","1080p",0,"60+",7,1331,949,0.1,1820.98484877497,513.932656466983
10,"Samsung","LCD","1080p",0,"40-49",7,1288,999,0.18,1820.98484877497,532.113943703603
11,"LG","QLED","4k",1,"40-49",7,1175,849,0.22,4480.57362716645,595.602927650119
12,"LG","QLED","1080p",0,"40-49",7,1475,1499,0.15,4480.57362716645,677.970669430934
13,"LG","LCD","4k",0,"50-59",7,1258,1099,0.28,4480.57362716645,576.507431713038
14,"LG","QLED","4k",0,"60+",7,1156,1049,0.26,4480.57362716645,665.278793688168
15,"LG","OLED","1080p",1,"60+",7,1331,1099,0.19,4480.57362716645,577.509113447967
16,"LG","LCD","1080p",1,"40-49",7,1429,1499,0.25,4480.57362716645,607.447158201224
17,"LG","OLED","4k",0,"30-39",7,1124,1099,0.2,4480.57362716645,673.398052297518
18,"LG","OLED","4k",1,"40-49",7,1234,1149,0.2,4480.57362716645,682.01035059466
19,"LG","LCD","1080p",1,"40-49",7,1346,1249,0.29,4480.57362716645,571.844906757404
20,"LG","LCD","4k",0,"40-49",7,1183,1099,0.32,4480.57362716645,596.615844070931
21,"Sony","LCD","4k",0,"50-59",7,1234,1249,0.28,1515.58534242213,616.991742722316
22,"Sony","LCD","4k",0,"60+",7,1097,1399,0.21,1515.58534242213,718.642855374881
23,"Sony","OLED","4k",1,"40-49",7,1330,1399,0.29,1515.58534242213,550.97444103506
24,"Sony","QLED","1080p",1,"50-59",7,1479,1099,0.07,1515.58534242213,588.955585091576
25,"Sony","OLED","4k",1,"40-49",7,1087,949,0.16,1515.58534242213,587.852874544314
26,"Sony","QLED","4k",1,"50-59",7,1261,999,0.22,1515.58534242213,521.523597484152
27,"Sony","LCD","4k",0,"60+",7,1504,1249,0.26,1515.58534242213,496.052631499845
28,"Sony","QLED","4k",0,"30-39",7,1225,1349,0.2,1515.58534242213,606.143936661169
29,"Sony","OLED","1080p",1,"50-59",7,1271,1049,0.11,1515.58534242213,550.291107795029
30,"Sony","QLED","1080p",1,"50-59",7,1318,1249,0.29,1515.58534242213,587.039492057907
31,"Philips","LCD","4k",1,"50-59",7,1024,749,0.25,4417.19019133598,579.314730535613
32,"Philips","OLED","1080p",0,"30-39",7,1393,1399,0.22,4417.19019133598,571.572699324076
33,"Philips","OLED","1080p",1,"50-59",7,1308,1299,0.29,4417.19019133598,599.553896454713
34,"Philips","LCD","1080p",0,"50-59",7,1266,999,0.15,4417.19019133598,550.948424766167
35,"Philips","OLED","1080p",1,"40-49",7,1168,1099,0.21,4417.19019133598,587.246880224402
36,"Philips","QLED","4k",0,"40-49",7,1307,849,0.11,4417.19019133598,537.563100062851
37,"Philips","LCD","1080p",0,"40-49",7,1172,1199,0.26,4417.19019133598,638.176376154716
38,"Philips","OLED","1080p",0,"50-59",7,1244,1049,0.16,4417.19019133598,608.363860370464
39,"Philips","LCD","1080p",1,"60+",7,1075,849,0.21,4417.19019133598,590.628042797449
40,"Philips","LCD","4k",1,"50-59",7,1543,1499,0.22,4417.19019133598,578.980718686513
1,"Samsung","OLED","1080p",0,"50-59",8,1395,1199,0.26,2143.93326453865,580.81776700586
2,"Samsung","OLED","4k",1,"30-39",8,1270,1299,0.28,2143.93326453865,547.15852176376
3,"Samsung","OLED","4k",0,"30-39",8,1275,1099,0.14,2143.93326453865,547.288071934949
4,"Samsung","QLED","1080p",1,"60+",8,1384,1399,0.19,2143.93326453865,639.984438678285
5,"Samsung","OLED","4k",1,"50-59",8,1269,799,0.13,2143.93326453865,550.796239183698
6,"Samsung","QLED","4k",0,"40-49",8,1024,1049,0.17,2143.93326453865,701.059163835951
7,"Samsung","QLED","4k",1,"40-49",8,1343,1049,0.21,2143.93326453865,510.13144519759
8,"Samsung","QLED","4k",1,"40-49",8,1218,1149,0.24,2143.93326453865,625.580166974659
9,"Samsung","OLED","1080p",0,"60+",8,1661,1349,0.11,2143.93326453865,549.160283239415
10,"Samsung","LCD","1080p",0,"40-49",8,1073,849,0.13,2143.93326453865,612.670253359433
